year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
2010,3,19,0.0,42.0,4659.5,1.0,5.0,5.0,10.372,33.560059523282284,241.0
2010,3,19,0.0,42.0,4659.5,2.0,49.8,49.0,9.9339,33.54215499341368,238.8713043478261
2010,3,19,0.0,42.0,4659.5,3.0,101.2,100.0,9.4988,34.1648455203198,220.68521739130438
2010,3,19,0.0,42.0,4659.5,4.0,151.2,150.0,8.5898,34.222437072223755,217.90260869565222
2010,3,19,0.0,42.0,4659.5,5.0,200.4,199.0,7.6792,34.07040049607272,219.12695652173915
2010,3,19,0.0,42.0,4659.5,6.0,299.6,297.0,6.0655,33.83730669589464,210.26434782608698
2010,3,19,0.0,42.0,4659.5,7.0,399.8,396.0,4.8867,33.691418050019216,214.43652173913048
2010,3,19,0.0,42.0,4659.5,8.0,500.5,496.0,4.2787,-999,-999
2010,3,19,0.0,42.0,4659.5,9.0,649.9,644.0,3.7406,33.7,200.7834782608696
2010,3,19,0.0,42.0,4659.5,10.0,799.7,792.0,3.2079,33.77770876399966,183.1330434782609
2010,3,19,0.0,42.0,4659.5,11.0,999.8,989.0,2.9468,33.924244889907214,160.17565217391308
2010,3,19,0.0,42.0,4659.5,12.0,1199.4,1186.0,2.7873,34.079432948254166,144.35304347826087
2010,3,19,0.0,42.0,4659.5,13.0,1400.2,1384.0,2.7165,34.20624512480203,137.9113043478261
2010,3,19,0.0,42.0,4659.5,14.0,1599.7,1581.0,2.7165,34.3097445176069,139.65478260869568
2010,3,19,0.0,42.0,4659.5,15.0,1800.1,1778.0,2.6465,34.38807831827438,146.69478260869568
2010,3,19,0.0,42.0,4659.5,16.0,2099.0,2072.0,2.5468,34.43556371690948,151.6608695652174
2010,3,19,0.0,42.0,4659.5,17.0,2400.5,2367.0,2.3209,34.45910788780937,154.25652173913045
2010,3,19,0.0,42.0,4659.5,18.0,2700.4,2661.0,2.0915,34.45793377120875,155.64869565217393
2010,3,19,0.0,42.0,4659.5,19.0,3000.4,2955.0,1.8829,34.45793377120875,156.69217391304352
2010,3,19,0.0,42.0,4659.5,20.0,3300.5,3248.0,1.5626,34.433202097703344,153.38695652173917
2010,3,19,0.0,42.0,4659.5,21.0,3599.5,3540.0,1.3126,34.40713679359253,149.30869565217392
2010,3,19,0.0,42.0,4659.5,22.0,3900.4,3833.0,1.093,34.38449519058153,147.21391304347827
2010,3,19,0.0,42.0,4659.5,23.0,4200.4,4126.0,0.9452,34.37013189239861,144.77913043478262
2010,3,19,0.0,42.0,4659.5,24.0,4649.5,4562.0,0.8571,34.3545156155682,139.91739130434783
