station,cast,year,month,day,hour,minute,bottom_depth,bottle,pressure,depth,temperature,salinity,oxygen
1,1,2010,3,14,9.0,10.0,2545.0,1.0,5.6,6.0,2.3373,33.745,328.6
1,1,2010,3,14,9.0,10.0,2545.0,2.0,30.0,30.0,2.3393,33.746,329.2
1,1,2010,3,14,9.0,10.0,2545.0,3.0,59.6,59.0,2.3249,33.747,329.3
1,1,2010,3,14,9.0,10.0,2545.0,4.0,99.7,99.0,0.8735,33.857,318.3
1,1,2010,3,14,9.0,10.0,2545.0,5.0,150.1,149.0,0.2458,34.21,256.3
1,1,2010,3,14,9.0,10.0,2545.0,6.0,200.3,198.0,1.0544,34.421,209.9
1,1,2010,3,14,9.0,10.0,2545.0,7.0,251.4,249.0,1.4835,34.542,187.4
1,1,2010,3,14,9.0,10.0,2545.0,8.0,299.3,296.0,1.6204,34.595,182.5
1,1,2010,3,14,9.0,10.0,2545.0,9.0,399.8,396.0,1.6726,34.639,180.1
1,1,2010,3,14,9.0,10.0,2545.0,10.0,500.5,495.0,1.6447,34.677,183.6
1,1,2010,3,14,9.0,10.0,2545.0,11.0,600.9,595.0,1.5734,34.701,188.7
1,1,2010,3,14,9.0,10.0,2545.0,12.0,701.5,694.0,1.4968,34.708,191.1
1,1,2010,3,14,9.0,10.0,2545.0,13.0,798.3,790.0,1.4096,34.713,194.5
1,1,2010,3,14,9.0,10.0,2545.0,14.0,900.3,890.0,1.2975,34.714,197.2
1,1,2010,3,14,9.0,10.0,2545.0,15.0,1000.7,989.0,1.1623,34.714,199.1
1,1,2010,3,14,9.0,10.0,2545.0,16.0,1101.1,1088.0,1.063,34.711,200.8
1,1,2010,3,14,9.0,10.0,2545.0,17.0,1200.0,1186.0,0.9644,34.708,202.4
1,1,2010,3,14,9.0,10.0,2545.0,18.0,1299.3,1284.0,0.8663,34.703,203.4
1,1,2010,3,14,9.0,10.0,2545.0,19.0,1500.1,1481.0,0.684,34.696,206.4
1,1,2010,3,14,9.0,10.0,2545.0,20.0,1700.3,1678.0,0.5424,34.688,208.0
1,1,2010,3,14,9.0,10.0,2545.0,21.0,1900.1,1875.0,0.4593,34.687,209.2
1,1,2010,3,14,9.0,10.0,2545.0,22.0,2099.6,2070.0,0.4059,34.681,210.6
1,1,2010,3,14,9.0,10.0,2545.0,23.0,2300.8,2268.0,0.3886,34.685,211.3
1,1,2010,3,14,9.0,10.0,2545.0,24.0,2544.2,2506.0,0.3944,34.683,210.5
2,1,2010,3,14,15.0,33.0,2566.4,1.0,4.3,4.0,2.3434,33.751,328.5
2,1,2010,3,14,15.0,33.0,2566.4,2.0,44.6,44.0,2.3324,33.752,330.7
2,1,2010,3,14,15.0,33.0,2566.4,3.0,81.6,81.0,2.2132,33.766,329.9
2,1,2010,3,14,15.0,33.0,2566.4,4.0,124.9,124.0,-0.0455,33.997,304.3
2,1,2010,3,14,15.0,33.0,2566.4,5.0,176.1,174.0,0.5173,-999,-999
2,1,2010,3,14,15.0,33.0,2566.4,6.0,223.4,221.0,1.0703,34.424,208.8
2,1,2010,3,14,15.0,33.0,2566.4,7.0,272.1,270.0,1.4738,34.543,187.4
2,1,2010,3,14,15.0,33.0,2566.4,8.0,350.2,347.0,1.658,34.624,183.0
2,1,2010,3,14,15.0,33.0,2566.4,9.0,451.0,447.0,1.6626,34.666,181.6
2,1,2010,3,14,15.0,33.0,2566.4,10.0,551.9,546.0,1.6018,34.688,186.2
2,1,2010,3,14,15.0,33.0,2566.4,11.0,649.6,643.0,1.5305,34.702,189.8
2,1,2010,3,14,15.0,33.0,2566.4,12.0,750.4,742.0,1.433,34.709,193.0
2,1,2010,3,14,15.0,33.0,2566.4,13.0,850.7,841.0,1.2998,34.711,196.3
2,1,2010,3,14,15.0,33.0,2566.4,14.0,951.6,941.0,1.1955,34.709,198.3
2,1,2010,3,14,15.0,33.0,2566.4,15.0,1050.6,1039.0,1.0749,34.707,200.4
