Station no.	Cast	Latitude	Longitude
1	1	54°00'04"S	000°00'01"E
2	1	-53.5000	0.0695
3	1	52°59'56"S	000°08'43"E
4	1	52°30'36"S	000°15'05"E
5	1	-52.0090	0.3380
6	1	51°30'00"S	000°20'52"E
7	1	51°00'00"S	000°24'58"E
8	1	50°30.00'S	000°29.13'E
9	1	50°00.00'S	000°33.27'E
10	1	49°29.94'S	000°37.53'E
11	1	49°00.00'S	000°41.57'E
12	1	48°30'04"S	000°45'42"E
13	1	48°00'00"S	000°49'53"E
14	1	47°30.00'S	000°54.07'E
15	1	-47.0000	0.9700
16	1	46°30'00"S	001°02'23"E
17	1	46°00.00'S	001°06.51'E
18	1	45°30'00"S	001°10'40"E
19	1	45°00.00'S	001°14.82'E
20	1	-44.5010	1.3153
21	1	44°00'00"S	001°21'00"E
22	1	43°30.06'S	001°20.48'E
23	1	-42.8330	1.3312
24	1	42°24.84'S	001°17.35'E
25	1	41°59'56"S	001°08'59"E
26	1	41°34.98'S	001°00.55'E
27	1	40°59'56"S	000°58'18"E
28	1	-40.5000	0.9773
29	1	-40.0000	0.9828
30	1	-39.5000	0.9790
31	1	-39.0000	0.9758
32	1	-38.5000	0.9792
33	1	-38.0000	0.9838
34	1	37°30'00"S	000°59'30"E
35	1	37°00'04"S	001°00'01"E
36	1	36°29'56"S	001°00'17"E
37	1	36°00'00"S	001°00'31"E
38	1	-35.5000	1.0507
39	1	-35.0000	1.0927
40	1	34°30'00"S	001°09'28"E
41	1	-34.0000	1.2187
42	1	33°30.00'S	001°05.99'E
43	1	33°00'00"S	000°58'47"E
44	1	32°30.00'S	001°07.43'E
45	1	32°00'00"S	001°16'15"E
46	1	-31.5020	1.4160
47	1	31°00.00'S	001°33.86'E
48	1	30°30.12'S	001°41.80'E
49	1	-30.0000	1.8330
50	1	29°30.00'S	001°48.50'E
51	1	29°00.00'S	001°46.99'E
52	1	-28.5000	1.7513
53	1	28°00'00"S	001°43'08"E
54	1	-27.5000	1.6890
55	1	27°00'00"S	001°39'36"E
56	1	26°30'00"S	001°38'48"E
57	1	26°00'00"S	001°37'60"E
58	1	-25.5000	1.5928
59	1	-25.0000	1.5498
60	1	-24.5000	1.5255
61	1	24°00.00'S	001°30.04'E
62	1	-23.5000	1.4718
63	1	-23.0000	1.4432
64	1	22°30.00'S	001°24.81'E
65	1	22°00'04"S	001°23'09"E
66	1	21°30.00'S	001°21.26'E
67	1	21°00.00'S	001°19.40'E
68	1	20°30.00'S	001°17.49'E
69	1	20°00'00"S	001°15'34"E
70	1	19°30'00"S	001°14'29"E
71	1	19°00'00"S	001°13'29"E
72	1	18°30.00'S	001°12.00'E
72	3	18°30'00"S	001°11'60"E
73	1	-18.0000	1.1748
74	1	-17.5000	1.1422
75	1	17°00.00'S	001°06.49'E
76	1	-16.5000	1.0555
77	1	16°00'00"S	001°00'06"E
78	1	-15.5000	0.9998
79	1	15°00.00'S	000°59.99'E
79	3	-15.0000	0.9998
80	1	14°30.00'S	000°58.79'E
81	1	14°00'00"S	000°57'30"E
82	1	13°30'04"S	000°56'28"E
82	2	13°30.06'S	000°56.46'E
83	1	-13.0000	0.9250
84	1	12°30'00"S	000°53'48"E
85	1	12°00'00"S	000°51'58"E
86	1	11°30'00"S	000°50'47"E
87	1	-11.0000	0.8257
88	1	10°29.94'S	000°48.13'E
89	1	09°59'59"S	000°46'42"E
90	1	-9.5005	0.5573
91	1	09°00.00'S	000°08.37'E
92	1	08°29.88'S	000°17.14'W
93	1	-7.9997	-0.7167
94	1	07°30'03"S	001°08'58"W
95	1	-6.9995	-1.5615
96	1	-6.4998	-1.9735
97	1	05°59'59"S	002°24'28"W
98	1	05°29'59"S	002°50'48"W
99	1	-4.9997	-3.0003
100	1	-4.5000	-3.0002
101	1	-4.0003	-3.0002
102	1	03°30.01'S	003°00.03'W
103	1	02°59.95'S	002°59.98'W
104	1	-2.6667	-3.0003
105	1	-2.3333	-3.0007
106	1	-1.9998	-3.0000
107	1	01°39.96'S	003°00.11'W
108	1	01°20.02'S	003°00.00'W
109	1	00°59.95'S	003°00.06'W
110	1	-0.6648	-3.0013
111	1	00°19'60"S	003°00'02"W
112	1	0.0008	-3.0010
113	1	0.3343	-3.0005
114	1	0.6652	-3.0010
115	1	00°59'59"N	003°00'01"W
116	1	1.3340	-3.0010
117	1	1.6672	-3.0000
118	1	2.0020	-3.0010
119	1	2.3335	-2.9997
120	1	2.6673	-2.9998
121	1	3.0002	-2.9995
122	1	3.3103	-2.9995
123	1	03°24'12"N	003°00'02"W
124	1	03°28'29"N	002°59'59"W
125	1	03°49.40'N	003°00.02'W
126	1	4.1715	-2.9995
127	1	4.4320	-3.0000
128	1	4.6220	-2.9997
129	1	04°42.65'N	003°00.00'W
